Pro_name,Pro_color,Cus_name,Rating,Title,Date,Review
iphone 11,Black,User,5,Blown Speakers Galaxy Note 9,"Reviewed in the United States on May 22, 2020",Speakers are blown and very crackly. Cannot hear it is so bad.
iphone 11,Black,Olisa,5,Keep in mind it is refurbished.,"Reviewed in the United States on January 24, 2021","Keep in mind these items are refurbished, which means someone else has had them - it may have a screen cover or already have knicks and chips. Based on my experience - there's a huge chance it could have been opened and repaired. If the phone was opened "
iphone 11,Black,Pat,5,Cana??t believe how wonderful it is,"Reviewed in the United States on May 1, 2020"," I couldna??t have made a wiser decision about this iPhone 11. First off, ita??s almost $60 cheaper than a brand new one, which is practically a steal. Then, it arrives 3 days early, who doesna??t love that? Lastly, I have boost mobile as a phone provide"
iphone 11,Black,Alexandria Sanda,5,I tried to upload a pic but idk how to lol,"Reviewed in the United States on May 1, 2020","Not gonna lie i was a little skeptical at first, im like dang did i really spend that much money on this what if its a scam? but im more than happy with the results. Battery health is on 100, phone is in perfect condition, came with new charger (no headp"
iphone 11,Black,Mary Robinson,5,Great price!,"Reviewed in the United States on March 25, 2020",I only dislike that I didna??t receive headphones with the order. Everything else was on point
iphone 11,Black,Ty,5,Good buy,"Reviewed in the United States on May 5, 2020",Ita??s refurbish but I got all brand new (apple box with original charger but missing the ear plug)
iphone 11,Black,Daisy Matson,3,Love my new phone!,"Reviewed in the United States on July 14, 2021",The phone came in great condition. It works great! No lag! No issues! The battery life is great as well. Ia??m happy with the quality of the phone. Ia??m happy with my purchase! :)
iphone 11,Black,brenda,1,"Be cautious of inferior ""refurbished"" products","Reviewed in the United States on September 25, 2020"," ** Edit **
The seller provided a copy of the report showing all components were OEM, so it was simply an oversight on the Quality Control of the reseller - which is understandable, since it was only noticed upon angled inspection.

*****

This phone act"
iphone 11,Black,Katherine,5,Wow... Went to activate the phone but Verizon says it is STOLEN!!!!!,"Reviewed in the United States on June 2, 2020","Wow... Went to activate phone and Verizon says the phone has been reported as STOLEN?!?!? The girl at tech support was very nice and issued me a refund. She stated that the phone may not have been wiped clean by the previous owner, but either way, arena?"
iphone 11,Black,Janna,5,Reliable Seller,"Reviewed in the United States on May 4, 2020","Honesty is greatly appreciated these days. They delivered exactly what they promised: The phone arrived timely and it looked brand new. Everything worked smoothly as I expected. Unfortunately, I wasn't very thrilled about the phone size because I have al"
iphone 11,Black,Ronald C.,5,The phone came in prestige barely any visible scatches at plus screen prtector included,"Reviewed in the United States on March 14, 2021",The product came in a timely fashion. I like that it came with a charger no headset though charger not original but cana??t complain for the price you are paying great deal and the phone is great condition
iphone 11,Black,Jones007,1,Exceeds expectations,"Reviewed in the United States on October 28, 2021","I dona??t write many reviews, however, there were some reviews about this iPhone that werena??t good. So I wanted to write a review myself.

I highly recommend this phone.

I will start by saying that I am impressed with the condition of my new phone. Af"
iphone 11,Black,Tomohiro Yoshimura,1,Just buy a new one.,"Reviewed in the United States on March 3, 2022",Mine came with a dead pixel and 90 percent battery life. I returned it and just bought a new one. While you might get lucky and get a like new product it just isna??t worth it to me to save 50 dollars. They need to lower their price to around 100 less th
iphone 11,Black,Alicia O'Neal,5,Wow,"Reviewed in the United States on April 29, 2020","I had everything transferred to my new phone, when suddenly my first phone call came in. To my surprise, you could barely hear any sound through the speaker despite the volume being turned up to max! Just my luck that the speaker doesna??t work consideri"
iphone 11,Black,Amazon Customer,5,STRONGLY recommend!!!,"Reviewed in the United States on February 24, 2022","All is great with the phone! Came in two days. It was a great upgrade from my 8 plus, very adorable and was delivered to my door in two days conveniently instead of waiting in a Apple store like usual! Will buy again from amazon."
iphone 11,Black,Jason Lynn,1,Perfect,"Reviewed in the United States on March 24, 2021",It was perfect! Even had a screen protector on it
iphone 11,Black,Daniel,4,Disappointed 11 year old,"Reviewed in the United States on October 8, 2021",I purchased the phone but when I took it to T-Mobil the device wouldna??t allow them to activate it. T-Mobil spoke with the customer care person from the seller but they couldna??t get it to work. So they told me to send it back. Prr rt onlem is now they
iphone 11,Black,ZAC,1,Overall pleased with experience,"Reviewed in the United States on November 29, 2021","I had to send my first phone back as there was a scratched area on the screen about the size of a quarter. Called Amazon and got replacement ordered right away no problem with Amazon Renewed guarantee.

Second iPhone comes and literally the same scratche"
iphone 11,Black,Amazon Customer,3,IMEI Reported Lost,"Reviewed in the United States on April 20, 2021",Sprint customers transitioning to T-Mobile with the merger. We purchased two iPhone 11s from this vendor. One phone activated just fine. Had problems activating the second phone. Spent 1 hr 40 min at the T-Mobile store. Second phone IMEI was reported 'Lo
iphone 11,Black,brenda,3,"Terrible audio, disappointed","Reviewed in the United States on January 11, 2022","I was very excited and looking forward to receive my new iPhone, but now Ia??m feeling I shoulda??ve paid the extra $50 to buy a new iPhone from Apple directly. At first glance the phone looks great! Came with a screen protector with no noticeable scratc"
iphone 11,Black,Katherine,4,Updated -- Defective phone but eventual refund,"Reviewed in the United States on December 1, 2021","This phone never really worked well (wouldn't install apps, face recognition worked for maybe a week, got a message saying it wasn't an authentic interface... so I wonder if I got scammed and this wasn't even a real iphone) and it had microfractures - fe"
iphone 11,Black,Daven Burnham,1,"It works, cheap screen","Reviewed in the United States on August 10, 2020","Upgraded my phone from an XR to the 11 and have spent 24 hours with it at the time of review.

Pros: I got more storage space (128GB vs 64GB), and the upgrade in the camera is great. I also love the green color and am glad it came with a screen protector"
iphone 11,Black,Cassandra,2,Not compatible,"Reviewed in the United States on July 26, 2021",I purchased this iPhone 11 that said it was unlocked . When I searched for iphone 11a I put Boost mobile only to find out this phone isna??t compatible to boost mobile and Ia??m really upset and pissed because I spent almost $800 on this phone plus shipp
iphone 11,Black,arendhart,1,Device delivered had fineline cracks and damages in Camera,"Reviewed in the United States on November 4, 2020"," The screen on the left side was sometimes not recognizing my touch, which leads me to look closely at the device and it looks like it's a damaged piece that was repaired. The device was warded off, looked to be overused, Camera has scratches and frame d"
iphone 11,Black,kyra d.,3,Buyer Beware!,"Reviewed in the United States on September 11, 2021",Ordered this phone because it said it worked for TMOBILE. It doesn't work with TMobile and it isn't unlocked. It is carrier locked to a different company and cannot be unlocked through TMobile. According to TMOBILE it can only be unlocked through the ori
iphone 11,Black,Jim & Princess,5,Cheaper through boost.,"Reviewed in the United States on April 29, 2020",I ordered this phone for over $500 on here. Ita??s supposed to be a renewed fully unlocked phone. Upon receiving the phone I noticed pits and scratches on back of phone which was a no biggie since I have a case for it. But upon installing my SIM card fro
iphone 11,Black,Tamara Rivera,5,"Like new, and perfectly packaged.","Reviewed in the United States on January 16, 2020","Excellent shape, looks brand new and battery health is at 100%. Came perfectly padded with charging cord and wall charger. This was a great buy, doesna??t seem a??reneweda??at all, appears new."
iphone 11,Black,Neval Gupta,5,I thought it was new,"Reviewed in the United States on May 21, 2020",Ita??s in perfect condition. Arrived with charging cable. No earphones but the description said it didna??t include them. Great purchase and currently using it to write this review.
iphone 11,Black,Amazon Customer,1,received early and without damages,"Reviewed in the United States on December 1, 2021","I was a bit skeptical about buying an iPhone renewed off amazon instead of new but my worries were soon gone after the iPhone came in without any damages and at 100% battery health. Besides not getting the official iPhone box with the earphones, I still "
iphone 11,Black,S.B.,4,FEELS LIKE WE GOT SCAMMED,"Reviewed in the United States on April 30, 2020","I purchased this phone in March to give to my kid sister for her 15th bday. The phone had been working fine for months but then some moisture got it the display and we needed to take it to Apple.

To our surprise, the Apple technician pointed out that so"
iphone 11,Black,Destiny Destroyer,2,"Screen was scratched, pretty bad.","Reviewed in the United States on February 20, 2022","Phone was in great condition except the screen. Screen has noticeable damage and deep scratches. Wasna??t included in description, and def not worth the full price of phone. Overall I rather not send it back so I guess Ia??m dealing w it."
iphone 11,Black,brenda,5,I don't know what to say,"Reviewed in the United States on June 3, 2020",The phone itself looks like it was dropped a few times. Scratch is all over it scratched on the back. It's not refurbished like it comes from a recognized company. It's refurbished like it came from a friend that had it for a few years and decided to giv
iphone 11,Black,Katherine,2,Amazing!,"Reviewed in the United States on November 14, 2021",This phone is practically new. Absolutely no signs of use but a tiny scuff beside the flash on the back of the phone which doesn't hurt the usability and is barely noticeable. The battery is at 100% capacity. Packaged in generic box with a generic charge
iphone 11,Black,Nai YoungLao,5,Seriously considering running it over with my car,"Reviewed in the United States on April 15, 2020",Save your $ and just buy a new phone. I was already having problems with an iPhone XR that I bought that was acting up when I decided to get this one to replace it. I was hoping the issues experienced with that phone would be resolved but unfortunately n
iphone 11,Black,Kahnetta Brown,1,Excellent,"Reviewed in the United States on March 21, 2021",It was my first time buying a phone online. I upgraded from the iphone 7. This product came exactly as advertised and works really well. I was a little skeptical buying it but it works great and i have no problems. The shipping was quick too.
iphone 11,Black,Rushdd,5,Screen has scratches,"Reviewed in the United States on September 17, 2020","Plus the BUY BACK Program is a scam. They try to low ball you, AFTER saying the expected amount they'll give you AFTER you've already sent it in. Then if you don't accept you get it back weeks later. Plus I sent it in with a brand new ""Real Apple Charge "
