transaction date,est_revenue,vod_revenue,est_trannx,vod_trannx,nr_est_rev,nr_vod_rev,lib_est_rev,lib_vod_rev,d2d_revenue,total_rev,discounted_rev,new_paids,ex_paids
00:00.0,486130.82,126894.69,41166,29173,243436.49,79675.45,160798.61,47219.24,20899.97,634046.36,73530.92,2260,52911
00:00.0,922516.28,288666.46,86931,63163,392396.5,199070.69,441181.05,89595.77,26223.04,1237502.68,312337.7,4067,103773
00:00.0,863580.79,434646.66,66181,93992,471747.14,310169.65,291327.77,124477.01,38844.11,1337223.42,109547.01,6242,122411
00:00.0,735183.59,338508.07,58541,75623,368103.39,224345.36,262833.94,114162.71,36434.9,1110287.4,87955.91,5776,101581
00:00.0,405610.48,126831.19,38601,29805,169245.76,72723.12,141344.75,54108.07,19236.14,551794.69,56870,2645,52439
00:00.0,752954.42,157502.31,82567,130515,279945.21,109643.26,356509.31,47859.05,20518.43,931032.12,362768.02,9046,97420
00:00.0,558387.58,131090.06,52442,48001,187177.22,83926.07,274877.85,47163.99,21615.78,711161.37,255024.41,3881,62621
00:00.0,506665.14,135120.26,47266,41370,178934.17,85639.33,234980.43,49480.93,20693.7,662558.03,199215.99,3242,59404
00:00.0,770219.14,272164.85,67828,73613,352103.43,188034.12,314794.56,84130.73,27507.58,1070044.44,317826.9,4984,100527
00:00.0,835038.82,386336.98,70942,99530,388060.8,269816.08,339983.82,116520.9,34868.17,1256313.91,305409.66,6759,121443
00:00.0,791969.1,288443.84,72825,79015,306724.76,188931.55,343300.61,99512.29,33271.04,1113795.86,325678.89,5729,101700
00:00.0,546131.77,121980.23,46857,32051,281730.83,69744.99,177344.2,52235.24,19712.62,687955.52,142507.34,3019,58241
00:00.0,636527.72,160427.83,55390,34773,344834.03,114320.49,209822.56,46107.34,18396.32,815444.78,154433.06,3049,63955
00:00.0,493790.77,146377.73,43228,32461,233376.49,98788.18,180912.23,47589.55,16312.11,656624.49,114129.16,2694,55435
00:00.0,512530.99,138739.73,45552,31122,233219.4,91180.96,199929.13,47558.77,16434.49,667884.06,142293.95,2509,55947
00:00.0,732853.8,282123.02,59108,60580,372433.56,201146.91,270940.01,80976.11,19292.29,1034331.04,181558.35,4006,90586
00:00.0,785141.35,389525.5,61342,83396,401136.3,279151.1,293572.26,110374.4,31745.82,1206508.58,170893.1,5248,110207
00:00.0,696041.46,313131.67,55278,68836,324464.63,211562.31,272326.17,101569.36,30512.31,1039874.24,156572.42,4762,93082
00:00.0,441518.99,130428.31,37639,30273,189787.75,77543.01,171396.6,52885.3,20028.84,592065.05,100098.98,2631,49974
00:00.0,607877.07,148792.81,57219,33327,230848.69,101837.01,286913.91,46955.8,20462.05,777210.85,239215.05,2667,58132
00:00.0,465351.44,137834.64,42652,31339,174810.85,90120.38,210048.36,47714.26,18347.96,621597.99,149886.77,2429,51696
00:00.0,519045.72,147194.35,44856,33527,226881.71,95561.17,211009.07,51633.18,18686.08,684962.11,137298.02,2582,55987
00:00.0,793522.24,283487.28,63901,61248,390765.95,202279.1,310015.13,81208.18,24094.77,1101238.16,198058.1,4002,92621
00:00.0,796426.84,377569.65,61527,81623,392217.28,268378.37,311810.73,109191.28,28536.4,1202575.86,178685.96,5290,107170
00:00.0,694992.5,315533.19,54870,69612,320908.5,213163.43,279660.38,102369.76,28368.28,1038969.9,156963.48,4790,92786
00:00.0,598280.93,126419.81,43742,29473,357488.85,74891.75,167661.66,51528.06,15977.14,740831.74,98452.63,2661,55261
00:00.0,1106784.45,128908.45,69424,29186,872449.38,83052.13,165929.38,45856.32,16866.35,1252687.13,121771.85,3819,76371
00:00.0,714322.67,124610.75,50187,28470,487423.66,76738.37,154815.92,47872.38,15585.44,854641.76,101913.24,3002,59852
00:00.0,608472.45,125921.84,45548,28813,372688.31,77163.28,164318.94,48758.56,15890.05,750336.3,100342.67,2904,56010
00:00.0,1134416.31,270969.79,90119,59185,627616.87,186029.41,418540.44,84940.38,20088.02,1425492.1,356410.57,5018,105251
00:00.0,1164474.36,370663.02,90087,80966,645006.51,254766.08,426377.67,115896.94,28873.07,1564010.45,342816.09,6641,122650
