tsfTenantID,networkID,cidrBlock,userdefined_region
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,18.246.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,3.5.80.0/21,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.88.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,15.177.80.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.40.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,64.252.70.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.32.0.0/14,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,54.184.0.0/13,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,64.252.71.0/24,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,35.155.0.0/16,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.10.0.0/15,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,52.94.248.96/28,us-west-2
aaa69d08-92eb-11eb-a8cd-0a58c0a8619d,32c54b6b-92ed-11eb-a8cd-0a58c0a8619d,99.77.186.0/24,us-west-2
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,100.24.0.0/13,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,107.20.0.0/14,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,15.177.64.0/23,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,15.193.6.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,162.250.236.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,162.250.237.0/24,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,162.250.238.0/23,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,174.129.0.0/16,us-east-1
bb870c33-acee-11eb-963f-0a58c0a8663c,68a9bb64-acef-11eb-963f-0a58c0a8663c,18.204.0.0/14,us-east-1
