Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-11-19,0.4263,-0.0912,0.4920,,0.5976,,0.5514,,0.2880,-0.1834,0.4845,,0.5784,,0.5774,,0.5972,,0.4512,,,268,0.0599,327,0.0542,452,0.0461,259,0.0609,97,0.0995,356,0.0519,380,0.0503,407,0.0486,677,0.0377,630,0.0390,us,Facebook,Daily Users
2018-11-26,0.5187,0.0924,0.5583,,0.5734,,0.4753,,0.4235,,0.5451,,0.5870,,0.5335,,0.5766,,0.4983,,,286,0.0579,335,0.0535,457,0.0458,269,0.0598,93,0.1016,391,0.0496,338,0.0533,455,0.0459,690,0.0373,657,0.0382,us,Facebook,Daily Users
2018-12-03,0.4872,,0.5555,,0.5280,,0.4985,,0.4343,,0.5351,,0.5490,,0.5031,,0.5884,,0.4488,,,271,0.0595,397,0.0492,460,0.0457,259,0.0609,86,0.1057,402,0.0489,399,0.0491,443,0.0466,731,0.0362,655,0.0383,us,Facebook,Daily Users
2018-12-10,0.4875,,0.5366,,0.5196,,0.5130,,0.3968,,0.5405,,0.5431,,0.4986,,0.5886,,0.4351,,,275,0.0591,364,0.0514,466,0.0454,280,0.0586,96,0.1000,401,0.0489,349,0.0525,453,0.0460,733,0.0362,651,0.0384,us,Facebook,Daily Users
2018-12-17,0.4706,,0.5748,,0.5455,,0.4906,,0.3775,,0.5542,,0.5544,,0.5292,,0.5970,,0.4526,,,4208,0.0151,4752,0.0142,6757,0.0119,3941,0.0156,1640,0.0242,5282,0.0135,5108,0.0137,6552,0.0121,9927,0.0098,9730,0.0099,us,Facebook,Daily Users
2018-12-24,0.4671,,0.5612,,0.5464,,0.4821,,0.3758,,0.5404,,0.5627,,0.5187,,0.5815,-0.0156,0.4548,,,7547,0.0113,9082,0.0103,12187,0.0089,7355,0.0114,2736,0.0187,9922,0.0098,9302,0.0102,12325,0.0088,18752,0.0072,17419,0.0074,us,Facebook,Daily Users
2018-12-31,0.4582,,0.5832,,0.5385,,0.5010,,0.2898,,0.5891,,0.5485,,0.5048,,0.5629,,0.4859,,,265,0.0602,318,0.0550,503,0.0437,279,0.0587,101,0.0975,363,0.0514,358,0.0518,487,0.0444,704,0.0369,660,0.0381,us,Facebook,Daily Users
2019-01-07,0.4874,,0.5818,,0.5749,,0.5020,,0.4340,0.1442,0.5854,,0.5456,,0.5538,,0.6188,0.0559,0.4567,,,263,0.0604,348,0.0525,459,0.0457,271,0.0595,101,0.0975,378,0.0504,369,0.0510,435,0.0470,729,0.0363,612,0.0396,us,Facebook,Daily Users
2019-01-14,0.4092,,0.5904,,0.5204,,0.4667,,0.3319,,0.5477,,0.5263,,0.5022,,0.5728,,0.4276,,,283,0.0583,322,0.0546,492,0.0442,274,0.0592,132,0.0853,354,0.0521,388,0.0498,436,0.0469,714,0.0367,658,0.0382,us,Facebook,Daily Users
2019-01-21,0.5257,0.1165,0.5810,,0.5327,,0.5496,,0.3541,,0.5949,,0.5449,,0.5616,,0.6209,,0.4681,,,251,0.0619,366,0.0512,473,0.0451,264,0.0603,87,0.1051,413,0.0482,374,0.0507,427,0.0474,705,0.0369,648,0.0385,us,Facebook,Daily Users
