Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-12-31,0.3752,,0.1458,-0.0778,0.0492,,0.0051,,0.5161,,0.2109,-0.0915,0.0786,,0.0222,,0.1457,,0.1190,,,288,0.0577,307,0.0559,490,0.0443,260,0.0608,125,0.0877,358,0.0518,351,0.0523,460,0.0457,676,0.0377,668,0.0379,us,Snapchat,Daily Users
2019-01-07,0.4066,,0.1537,,0.0543,,0.0308,,0.5048,,0.2479,,0.0834,,0.0398,,0.1610,,0.1491,,,308,0.0558,328,0.0541,437,0.0469,267,0.0600,133,0.0850,385,0.0499,331,0.0539,438,0.0468,669,0.0379,671,0.0378,us,Snapchat,Daily Users
2019-01-14,0.3140,-0.0926,0.1675,,0.0489,,0.0099,,0.3392,-0.1656,0.2479,,0.0761,,0.0208,,0.1349,,0.1250,,,284,0.0582,386,0.0499,465,0.0454,241,0.0631,113,0.0922,421,0.0478,345,0.0528,447,0.0464,691,0.0373,685,0.0374,us,Snapchat,Daily Users
2019-01-21,0.3815,,0.1467,,0.0468,,0.0121,,0.4385,,0.2392,,0.0800,,0.0190,,0.1290,,0.1350,,,279,0.0587,376,0.0505,457,0.0458,303,0.0563,107,0.0947,431,0.0472,349,0.0525,460,0.0457,742,0.0360,673,0.0378,us,Snapchat,Daily Users
2019-01-28,0.3863,,0.1240,,0.0383,,0.0107,,0.4794,,0.2288,,0.0681,,0.0096,,0.1377,,0.1098,,,260,0.0608,309,0.0558,435,0.0470,269,0.0598,102,0.0970,348,0.0525,335,0.0535,428,0.0474,666,0.0380,607,0.0398,us,Snapchat,Daily Users
2019-02-04,0.3572,,0.1282,,0.0612,,0.0044,,0.4178,,0.2043,,0.0930,,0.0260,,0.1267,,0.1162,,,236,0.0638,300,0.0566,435,0.0470,262,0.0605,104,0.0961,328,0.0541,305,0.0561,449,0.0462,679,0.0376,554,0.0416,us,Snapchat,Daily Users
2019-02-11,0.4052,,0.1520,,0.0769,,0.0061,,0.5311,,0.2319,,0.1039,,0.0386,,0.1715,0.0447,0.1239,,,297,0.0569,344,0.0528,495,0.0440,298,0.0568,114,0.0918,414,0.0482,364,0.0514,468,0.0453,735,0.0361,699,0.0371,us,Snapchat,Daily Users
2019-02-18,0.3597,,0.1576,,0.0330,-0.0439,0.0039,,0.4062,,0.2444,,0.0699,,0.0184,,0.1372,,0.1235,,,306,0.0560,352,0.0522,473,0.0451,264,0.0603,128,0.0866,394,0.0494,368,0.0511,448,0.0463,718,0.0366,678,0.0376,us,Snapchat,Daily Users
2019-02-25,0.3651,,0.1517,,0.0482,,0.0021,,0.4395,,0.2165,,0.0875,,0.0193,,0.1471,,0.1217,,,297,0.0569,311,0.0556,455,0.0459,260,0.0608,149,0.0803,348,0.0525,327,0.0542,435,0.0470,668,0.0379,655,0.0383,us,Snapchat,Daily Users
2019-03-04,0.3512,,0.1898,,0.0515,,0.0110,,0.3871,,0.2588,,0.1079,,0.0139,,0.1454,,0.1353,,,272,0.0594,344,0.0528,482,0.0446,240,0.0633,133,0.0850,357,0.0519,345,0.0528,455,0.0459,710,0.0368,628,0.0391,us,Snapchat,Daily Users
