Date,Age: 18-29,Age: 18-29- Significance Test (Change),Age: 30-44,Age: 30-44- Significance Test (Change),Age: 45-64,Age: 45-64- Significance Test (Change),Age: 65+,Age: 65+- Significance Test (Change),Generation: GenZers,Generation: GenZers- Significance Test (Change),Generation: Millennials,Generation: Millennials- Significance Test (Change),Generation: GenXers,Generation: GenXers- Significance Test (Change),Generation: Boomers,Generation: Boomers- Significance Test (Change),Generation: Early Boomers,Generation: Early Boomers- Significance Test (Change),Gender: Female,Gender: Female- Significance Test (Change),Gender: Male,Gender: Male- Significance Test (Change),,Age: 18-29 (n),Age: 18-29 (MOE),Age: 30-44 (n),Age: 30-44 (MOE),Age: 45-64 (n),Age: 45-64 (MOE),Age: 65+ (n),Age: 65+ (MOE),Generation: GenZers (n),Generation: GenZers (MOE),Generation: Millennials (n),Generation: Millennials (MOE),Generation: GenXers (n),Generation: GenXers (MOE),Generation: Boomers (n),Generation: Boomers (MOE),Generation: Early Boomers (n),Generation: Early Boomers (MOE),Gender: Female (n),Gender: Female (MOE),Gender: Male (n),Gender: Male (MOE),Country,Brand,Response
2018-11-19,0.1998,,0.1274,,0.1217,,0.0475,,0.2131,,0.1537,,0.1432,,0.0873,,0.0586,,0.1059,,0.1441,,,285,0.0581,339,0.0532,454,0.0460,272,0.0594,88,0.1045,401,0.0489,340,0.0531,443,0.0466,218,0.0664,688,0.0374,663,0.0381,us,Twitter,Daily Users
2018-11-26,0.2054,,0.1759,,0.0902,,0.0358,,0.2422,,0.1810,,0.1297,,0.0700,,0.0562,,0.0952,,0.1513,,,273,0.0593,323,0.0545,499,0.0439,278,0.0588,95,0.1005,354,0.0521,357,0.0519,475,0.0450,210,0.0676,710,0.0368,663,0.0381,us,Twitter,Daily Users
2018-12-03,0.2273,,0.1569,,0.1049,,0.0562,,0.3325,,0.1671,,0.1399,,0.0726,,0.0544,,0.1254,,0.1514,,,289,0.0576,307,0.0559,437,0.0469,215,0.0668,96,0.1000,380,0.0503,321,0.0547,395,0.0493,178,0.0735,658,0.0382,591,0.0403,us,Twitter,Daily Users
2018-12-10,0.2749,,0.1371,,0.1303,,0.0605,,0.3096,,0.2086,,0.1273,,0.0966,,0.0586,,0.1064,,0.1930,,,283,0.0583,367,0.0512,489,0.0443,237,0.0637,97,0.0995,377,0.0505,394,0.0494,441,0.0467,186,0.0719,686,0.0374,691,0.0373,us,Twitter,Daily Users
2018-12-17,0.1939,-0.0810,0.1309,,0.1066,,0.0474,,0.2541,,0.1504,,0.1250,,0.0766,,0.0618,,0.0988,,0.1392,-0.0538,,259,0.0609,274,0.0592,472,0.0451,253,0.0616,87,0.1051,323,0.0545,340,0.0531,436,0.0469,193,0.0705,661,0.0381,597,0.0401,us,Twitter,Daily Users
2018-12-24,0.2043,,0.1383,,0.1042,,0.0674,,0.2868,,0.1482,,0.1228,,0.0844,,0.0805,,0.1207,,0.1273,,,252,0.0617,369,0.0510,445,0.0465,299,0.0567,91,0.1027,373,0.0507,359,0.0517,470,0.0452,251,0.0619,720,0.0365,646,0.0386,us,Twitter,Daily Users
2018-12-31,0.2439,,0.1798,,0.1182,,0.0630,,0.3080,,0.1844,,0.1402,,0.0930,,0.0572,,0.1140,,0.1874,0.0601,,275,0.0591,346,0.0527,507,0.0435,255,0.0614,119,0.0898,378,0.0504,376,0.0505,457,0.0458,212,0.0673,733,0.0362,650,0.0384,us,Twitter,Daily Users
2019-01-07,0.1699,-0.0740,0.1603,,0.1363,,0.0719,,0.1997,,0.1460,,0.1752,,0.0841,,0.0576,,0.1203,,0.1540,,,259,0.0609,387,0.0498,468,0.0453,278,0.0588,112,0.0926,404,0.0488,353,0.0522,471,0.0452,226,0.0652,729,0.0363,663,0.0381,us,Twitter,Daily Users
2019-01-14,0.2087,,0.1514,,0.1350,,0.0664,,0.2816,,0.1596,,0.1583,,0.0810,,0.0688,,0.1114,,0.1752,,,316,0.0551,368,0.0511,484,0.0445,297,0.0569,132,0.0853,431,0.0472,377,0.0505,457,0.0458,229,0.0648,782,0.0350,683,0.0375,us,Twitter,Daily Users
2019-01-21,0.2682,,0.1184,,0.1025,,0.0463,,0.3894,,0.1595,,0.1130,,0.0675,,0.0495,,0.1031,,0.1643,,,312,0.0555,365,0.0513,415,0.0481,264,0.0603,111,0.0930,451,0.0461,319,0.0549,427,0.0474,216,0.0667,673,0.0378,683,0.0375,us,Twitter,Daily Users
2019-01-28,0.1857,-0.0825,0.0873,,0.0928,,0.0670,,0.2124,-0.1769,0.1269,,0.0753,,0.0925,,0.0803,,0.0865,,0.1225,-0.0418,,264,0.0603,363,0.0514,429,0.0473,285,0.0581,114,0.0918,362,0.0515,347,0.0526,446,0.0464,214,0.0670,686,0.0374,654,0.0383,us,Twitter,Daily Users
2019-02-04,0.1807,,0.1274,,0.1290,,0.0627,,0.1886,,0.1551,,0.1339,0.0586,0.0887,,0.0686,,0.1022,,0.1522,,,269,0.0598,344,0.0528,415,0.0481,259,0.0609,107,0.0947,369,0.0510,345,0.0528,406,0.0486,199,0.0695,673,0.0378,615,0.0395,us,Twitter,Daily Users
2019-02-11,0.2458,,0.1215,,0.1240,,0.0479,,0.2998,,0.1593,,0.1186,,0.0929,,0.0520,,0.1125,,0.1595,,,320,0.0548,379,0.0503,489,0.0443,273,0.0593,135,0.0843,433,0.0471,380,0.0503,452,0.0461,211,0.0675,738,0.0361,724,0.0364,us,Twitter,Daily Users
2019-02-18,0.2313,,0.1392,,0.1040,,0.0734,,0.2708,,0.1784,,0.1228,,0.0868,,0.0929,,0.1099,,0.1606,,,296,0.0570,342,0.0530,463,0.0455,272,0.0594,114,0.0918,396,0.0492,353,0.0522,447,0.0464,209,0.0678,717,0.0366,656,0.0383,us,Twitter,Daily Users
2019-02-25,0.2055,,0.1387,,0.1219,,0.0458,,0.2401,,0.1565,,0.1320,,0.0806,,0.0477,,0.1192,,0.1346,,,254,0.0615,326,0.0543,389,0.0497,271,0.0595,105,0.0956,364,0.0514,297,0.0569,417,0.0480,214,0.0670,626,0.0392,613,0.0396,us,Twitter,Daily Users
2019-03-04,0.2066,,0.1186,,0.1419,,0.0619,,0.1794,,0.1578,,0.1493,,0.1019,,0.0687,,0.1294,,0.1398,,,273,0.0593,339,0.0532,456,0.0459,249,0.0621,112,0.0926,389,0.0497,331,0.0539,424,0.0476,189,0.0713,718,0.0366,599,0.0400,us,Twitter,Daily Users
2019-03-11,0.2538,,0.1637,,0.1449,,0.0571,,0.3377,0.1582,0.1728,,0.1767,,0.0813,,0.0586,,0.1363,,0.1724,,,240,0.0633,265,0.0602,379,0.0503,248,0.0622,107,0.0947,278,0.0588,313,0.0554,385,0.0499,200,0.0693,603,0.0399,529,0.0426,us,Twitter,Daily Users
2019-03-18,0.2541,,0.1384,,0.1430,,0.0608,,0.2732,,0.1799,,0.1527,,0.0907,,0.0571,,0.1210,,0.1817,,,223,0.0656,269,0.0598,371,0.0509,208,0.0680,116,0.0910,281,0.0585,273,0.0593,358,0.0518,165,0.0763,576,0.0408,495,0.0440,us,Twitter,Daily Users
